userID,username,email,password,firstName,lastName,sroID
1,MobileVUser1,ucabmlj@ucl.ac.uk,pbkdf2:sha256:260000$RO0ghM7YuLnqaILp$ba0937ca15824965b687146fff0e06b13386173d1f55a27b91d79ffc17478718,Charles,Babbage,4
2,MobileVUser2,tim.bernerslee@aol.com,pbkdf2:sha256:260000$j209IYC705Ky7nMc$d7e2ef0ca4839b158246497a7bf013b9b5e3a902038665a7ce3fb8a087720a16,Tim,Berners-Lee,5
3,MobileVUser3,john.vonneumann@yahoo.com,pbkdf2:sha256:260000$VLLZcveHMrlm70wt$4a802e9b7ea17865cded00aee098855839401944011e27d9d17691712b97b07b,John,von Neumann,4
4,SydneyCroft,SydneyCroft@gmail.com,elp20UnR3AyxXpzasEOM,Sydney,Croft,5
5,HonorSantana,HonorSantana@outlook.com,aZFvGprDtYpQGw2YSb9C,Honor,Santana,4
6,JoseffCraig,JoseffCraig@gmail.com,Cpw9XUZIw8jooL2jxDIG,Joseff,Craig,5
7,MissyRobson,MissyRobson@ucl.ac.uk,XDEH617qtIKBBnGU08rP,Missy,Robson,4
8,EmerHicks,EmerHicks@outlook.com,EIcvldomBXPYCIDdsf5n,Emer,Hicks,5
9,MehreenHahn,MehreenHahn@ucl.ac.uk,zCcFRmNVESWgmJtruoi3,Mehreen,Hahn,4
10,KayneHuff,KayneHuff@gmail.com,KVV38qALKLTYIrUgNvom,Kayne,Huff,5
11,TaylorSchmitt,TaylorSchmitt@outlook.com,yom8tqm8uGlRbYwGSTKR,Taylor,Schmitt,4
12,Elara Michael,Elara Michael@gmail.com,usGT1pYViUtQopgwp5DA,Elara ,Michael,5
13,MeghanJobson,MeghanJobson@outlook.com,pWu5MOa1kdMSGM1jcKRc,Meghan,Jobson,4
14,KalumOwen,KalumOwen@gmail.com,LtJ4s9Sml9x6c75PdbQt,Kalum,Owen,5
15,ChelseaKaur,ChelseaKaur@outlook.com,YnENfrjuTaoguaYV3Keg,Chelsea,Kaur,4
16,VirginiaFlynn,VirginiaFlynn@gmail.com,yz4anzwAsDTDCZ9UUANJ,Virginia,Flynn,5
17,GlennBlack,GlennBlack@outlook.com,SGHcqCfuSjEwPWvSbWwt,Glenn,Black,4
18,PaulineAssarsson,PaulineAssarsson@gmail.com,f3DUSUsD4mjlyEzb9TB1,Pauline,Assarsson,5
19,ZakirKent,ZakirKent@gmail.com,5veJjrSYDOS0egzYG99L,Zakir,Kent,4
20,ChrisMorgan,ChrisMorgan@ucl.ac.uk,AIBTIKGvRh1eJ0m7f8de,Chris,Morgan,5
