userID,username,email,password,firstName,lastName,sroID
1,MobileVUser1,ucabmlj@ucl.ac.uk,pbkdf2:sha256:260000$5tX7tq9DnOyFxZaP$9d4c62542a84624efeb21f1814c4cecbd6fd8a20ab70b0f4db3ef1f3300e6bcd,Charles,Babbage,4
2,MobileVUser2,tim.bernerslee@aol.com,pbkdf2:sha256:260000$rT82Q71YhWZgp0iu$dfe3b555b63a05a73fc00e8b3c5df5d05a7259f32e2d3dcaea99b4c1ce0ab9f4,Tim,Berners-Lee,5
3,MobileVUser3,john.vonneumann@yahoo.com,pbkdf2:sha256:260000$ocFFxiH7dvzn6bql$41f94554045d9b0355e857db3b774955a8b2be0e0abc4c01247f22c50d382bde,John,von Neumann,4
4,SydneyCroft,SydneyCroft@gmail.com,elp20UnR3AyxXpzasEOM,Sydney,Croft,5
5,HonorSantana,HonorSantana@outlook.com,aZFvGprDtYpQGw2YSb9C,Honor,Santana,4
6,JoseffCraig,JoseffCraig@gmail.com,Cpw9XUZIw8jooL2jxDIG,Joseff,Craig,5
7,MissyRobson,MissyRobson@ucl.ac.uk,XDEH617qtIKBBnGU08rP,Missy,Robson,4
8,EmerHicks,EmerHicks@outlook.com,EIcvldomBXPYCIDdsf5n,Emer,Hicks,5
9,MehreenHahn,MehreenHahn@ucl.ac.uk,zCcFRmNVESWgmJtruoi3,Mehreen,Hahn,4
10,KayneHuff,KayneHuff@gmail.com,KVV38qALKLTYIrUgNvom,Kayne,Huff,5
11,TaylorSchmitt,TaylorSchmitt@outlook.com,yom8tqm8uGlRbYwGSTKR,Taylor,Schmitt,4
12,Elara Michael,Elara Michael@gmail.com,usGT1pYViUtQopgwp5DA,Elara ,Michael,5
13,MeghanJobson,MeghanJobson@outlook.com,pWu5MOa1kdMSGM1jcKRc,Meghan,Jobson,4
14,KalumOwen,KalumOwen@gmail.com,LtJ4s9Sml9x6c75PdbQt,Kalum,Owen,5
15,ChelseaKaur,ChelseaKaur@outlook.com,YnENfrjuTaoguaYV3Keg,Chelsea,Kaur,4
16,VirginiaFlynn,VirginiaFlynn@gmail.com,yz4anzwAsDTDCZ9UUANJ,Virginia,Flynn,5
17,GlennBlack,GlennBlack@outlook.com,SGHcqCfuSjEwPWvSbWwt,Glenn,Black,4
18,PaulineAssarsson,PaulineAssarsson@gmail.com,f3DUSUsD4mjlyEzb9TB1,Pauline,Assarsson,5
19,ZakirKent,ZakirKent@gmail.com,5veJjrSYDOS0egzYG99L,Zakir,Kent,4
20,ChrisMorgan,ChrisMorgan@ucl.ac.uk,AIBTIKGvRh1eJ0m7f8de,Chris,Morgan,5
